group_id,name,logo_url
1389,,https://archives.bulbagarden.net/media/upload/4/49/Neo_Revelation_Logo_EN.png
605,,https://archives.bulbagarden.net/media/upload/2/20/Base_Set_2_Logo.png
635,,https://archives.bulbagarden.net/media/upload/6/69/Jungle_Logo.png
23638,,https://archives.bulbagarden.net/media/upload/a/a3/S8a_25th_Anniversary_Collection_Logo.png
23616,,https://archives.bulbagarden.net/media/upload/b/bb/Pok%C3%A9mon_Sword_logo.png
23912,,https://archives.bulbagarden.net/media/upload/b/bb/EX_Battle_Boost_Logo.png
23911,,https://archives.bulbagarden.net/media/upload/9/94/Shiny_Collection_Logo.png
23910,,https://archives.bulbagarden.net/media/upload/0/08/Dragon_Selection_Logo.png
23722,,https://archives.bulbagarden.net/media/upload/6/69/Jungle_Logo.png
24022,,https://archives.bulbagarden.net/media/upload/2/29/Lost_Link_Logo.png
