group_id,name,logo_url
24019,,https://archives.bulbagarden.net/media/upload/a/a9/Southern_Island_RTRB.png
24017,,https://archives.bulbagarden.net/media/upload/2/2d/Neo_Premium_File_2.jpg
24018,,https://archives.bulbagarden.net/media/upload/7/72/Neo_Premium_File_3.jpg
23733,,https://archives.bulbagarden.net/media/upload/8/87/Split_Earth.jpg
24131,,https://archives.bulbagarden.net/media/upload/3/35/MudkipConstructedStarterDeck.jpg
24132,,https://archives.bulbagarden.net/media/upload/1/10/TorchicConstructedStarterDeck.jpg
24133,,https://archives.bulbagarden.net/media/upload/f/f4/TreeckoConstructedStarterDeck.jpg
24149,,https://archives.bulbagarden.net/media/upload/7/76/MovieCommemorationVSPack.jpg
24115,,https://archives.bulbagarden.net/media/upload/9/9e/DeoxysConstructedStarterDeck.jpg
24116,,https://archives.bulbagarden.net/media/upload/e/e4/RayquazaConstructedStarterDeck.jpg
24107,,https://archives.bulbagarden.net/media/upload/6/6d/Fighting_Quick_Construction_Pack.jpg
24108,,https://archives.bulbagarden.net/media/upload/2/2d/Fire_Quick_Construction_Pack.jpg
24109,,https://archives.bulbagarden.net/media/upload/7/77/Grass_Quick_Construction_Pack.jpg
24110,,https://archives.bulbagarden.net/media/upload/d/d5/Lightning_Quick_Construction_Pack.jpg
24111,,https://archives.bulbagarden.net/media/upload/d/dc/Psychic_Quick_Construction_Pack.jpg
24112,,https://archives.bulbagarden.net/media/upload/8/80/Water_Quick_Construction_Pack.jpg
24101,,https://archives.bulbagarden.net/media/upload/8/87/Mirage_Forest.png
24086,,https://archives.bulbagarden.net/media/upload/9/95/HolonResearchTowerFireQuarterDeck.jpg
24087,,https://archives.bulbagarden.net/media/upload/a/ab/HolonResearchTowerLightningQuarterDeck.jpg
24088,,https://archives.bulbagarden.net/media/upload/5/5c/HolonResearchTowerWaterQuarterDeck.jpg
24050,,https://archives.bulbagarden.net/media/upload/e/e6/DialgaLV.XConstructedStandardDeck.jpg
24051,,https://archives.bulbagarden.net/media/upload/f/f0/PalkiaLV.XConstructedStandardDeck.jpg
24053,,https://archives.bulbagarden.net/media/upload/c/c0/World_Champions_Pack.jpg
24004,,https://archives.bulbagarden.net/media/upload/e/eb/Mewtwo_LV.X_Collection_Pack.jpg
24005,,https://archives.bulbagarden.net/media/upload/4/4d/Regigigas_LV.X_Collection_Pack.jpg
